Overall,first_name,last_name,full_name,image,country,flag,affiliate,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_12 curve,event_12_TB,event_13,event_14,event_15,event_1_rank,event_2_rank,event_3_rank,event_4_rank,event_5_rank,event_6_rank,event_7_rank,event_8_rank,event_9_rank,event_10_rank,event_11_rank,event_12_rank,event_13_rank,event_14_rank,event_15_rank,event_1_score,event_2_score,event_3_score,event_4_score,event_5_score,event_6_score,event_7_score,event_8_score,event_9_score,event_10_score,event_11_score,event_12_score,event_13_score,event_14_score,event_15_score,total_score,Event_1_race,Event_2_race,Event_3_race,Event_4_race,Event_5_race,Event_6_race,Event_7_race,Event_8_race,Event_9_race,Event_10_race,Event_11_race,Event_12_race,Event_13_race,Event_14_race,Event_15_race,Vlookup_position,score_80_ATHLETES,score_60_ATHLETES,score_40_ATHLETES
1,Justin,Medeiros,Justin Medeiros,https://profilepicsbucket.crossfit.com/4aa64-P811708_3-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Fort Vancouver,10:54.3,09:13.5,01:18.2,14:50.3,12:05.8,05:59.9,05:56.7,02:15.3,03:48.6,21:36.0,230,285,285,CAP+00,04:46.6,06:41.3,06:36.6,6,16,11,7,7,8,14,5,9,8,11,12,5,5,2,185,155,170,182,182,179,161,188,176,172,150,145,180,180,195,2600,185,340,510,692,874,1053,1214,1402,1578,1750,1900,2045,2225,2405,2600,1,200,200,200
2,Tia-Clair,Toomey,Tia-Clair Toomey,https://profilepicsbucket.crossfit.com/b8a69-P163097_3-184.jpg,Australia,https://assets.crossfit.com/build/img/sites/games/country-flags/au.svg,CrossFit East Nashville,10:46.4,08:27.9,01:24.2,14:15.8,12:19.8,05:43.2,04:44.9,02:54.3,04:45.2,21:49.8,231,200,305,00:13.4,04:39.4,06:10.1,06:22.3,5,6,34,3,14,1,1,10,36,15,10,2,1,3,1,188,185,101,194,161,200,200,173,95,144,155,195,200,190,200,2581,188,373,474,668,829,1029,1229,1402,1497,1641,1796,1991,2191,2381,2581,2,197,196,195
3,Patrick,Vellner,Patrick Vellner,https://profilepicsbucket.crossfit.com/d471c-P158264_7-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,CrossFit Nanaimo,19:48.6,07:42.4,01:15.7,15:36.6,11:49.0,CAP+01,06:14.3,03:56.3,03:41.1,21:52.7,255,290,290,,04:44.0,06:31.6,07:29.1,64,1,3,15,2,36,22,30,5,16,5,5,3,4,15,33,200,194,158,197,95,137,113,188,140,180,180,190,185,130,2320,33,233,427,585,782,877,1014,1127,1315,1455,1635,1815,2005,2190,2320,3,194,192,190
4,Saxon,Panchik,Saxon Panchik,https://profilepicsbucket.crossfit.com/00087-P310970_11-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,CrossFit Cliffside,14:00.8,09:11.0,01:15.9,15:17.4,12:21.0,05:53.7,05:43.3,02:57.3,04:25.8,22:35.6,214,285,285,00:13.0,11:43.4,CAP+03,06:47.1,32,15,4,12,16,7,10,11,32,24,16,10,38,7,3,107,158,191,167,155,182,173,170,107,108,125,155,15,170,190,2173,107,265,456,623,778,960,1133,1303,1410,1518,1643,1798,1813,1983,2173,4,191,188,185
5,Bjorgvin Karl,Gudmundsson,Bjorgvin Karl Gudmundsson,https://profilepicsbucket.crossfit.com/4c5dc-P81616_4-184.jpg,Iceland,https://assets.crossfit.com/build/img/sites/games/country-flags/is.svg,CrossFit Hengill,11:10.1,08:45.8,01:17.7,16:51.9,12:26.4,CAP+01,07:15.8,02:47.1,03:57.3,22:01.1,261,275,275,CAP+00,04:41.2,CAP+07,07:53.4,9,10,8,22,18,36,48,9,15,20,3,23,2,11,26,176,173,179,137,149,95,65,176,158,124,190,90,195,150,75,2132,176,349,528,665,814,909,974,1150,1308,1432,1622,1712,1907,2057,2132,5,188,184,180
6,Brent,Fikowski,Brent Fikowski,https://profilepicsbucket.crossfit.com/93ab7-P107101_10-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,,12:08.4,08:35.3,01:18.3,15:05.0,12:01.3,CAP+01,06:32.4,03:29.0,03:31.2,24:09.6,253,285,285,00:12.8,07:52.9,CAP+12,07:37.8,14,8,12,11,4,36,29,23,1,38,7,9,20,18,22,161,179,167,170,191,95,116,134,200,64,170,160,105,115,95,2122,161,340,507,677,868,963,1079,1213,1413,1477,1647,1807,1912,2027,2122,6,185,180,175
7,Jonne,Koski,Jonne Koski,https://profilepicsbucket.crossfit.com/9f8e1-P173837_3-184.jpg,Finland,https://assets.crossfit.com/build/img/sites/games/country-flags/fi.svg,CrossFit 10K,06:44.2,09:02.5,01:18.3,16:32.5,12:12.0,CAP+02,07:29.3,03:02.1,03:46.1,22:09.3,259,260,260,CAP+00,07:58.2,CAP+08,07:00.7,1,12,13,19,9,57,49,14,7,21,4,34,23,14,5,200,167,164,146,176,47,63,161,182,120,185,35,90,135,180,2051,200,367,531,677,853,900,963,1124,1306,1426,1611,1646,1736,1871,2051,7,182,176,170
8,Laura,Horvath,Laura Horvath,https://profilepicsbucket.crossfit.com/c1412-P591912_5-184.jpg,Hungary,https://assets.crossfit.com/build/img/sites/games/country-flags/hu.svg,CrossFit Glasshouse,12:24.4,09:58.9,01:29.6,17:53.3,11:41.6,06:09.7,04:57.2,03:39.1,04:22.0,24:14.3,208,190,289.75,00:12.8,04:51.5,CAP+13,06:55.4,16,29,49,35,1,11,3,26,31,41,18,6,8,20,4,155,116,63,98,200,170,194,125,110,55,115,175,165,105,185,2031,155,271,334,432,632,802,996,1121,1231,1286,1401,1576,1741,1846,2031,8,179,172,165
9,Guilherme,Malheiros,Guilherme Malheiros,https://profilepicsbucket.crossfit.com/e2492-P686308_4-184.jpg,Brazil,https://assets.crossfit.com/build/img/sites/games/country-flags/br.svg,Cavaleiros CrossFit,14:44.0,08:28.3,01:15.4,CAP+00,13:32.5,CAP+00,04:51.6,02:45.9,03:59.9,24:38.6,254,305,305.1,,11:07.7,CAP+12,07:01.5,36,7,1,59,47,32,2,8,16,45,6,1,27,18,6,95,182,200,43,67,107,197,179,155,43,175,200,70,115,175,2003,95,277,477,520,587,694,891,1070,1225,1268,1443,1643,1713,1828,2003,9,176,168,160
10,Alex,Vigneault,Alex Vigneault,https://profilepicsbucket.crossfit.com/ebe1c-P180541_4-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,,09:48.2,09:23.4,01:18.5,CAP+11,12:42.4,05:52.5,05:23.8,03:34.2,03:37.9,21:46.7,208,280,280,CAP+00,07:47.6,CAP+36,07:23.9,3,18,15,68,24,6,7,25,2,13,18,20,18,38,11,194,149,158,25,131,185,182,128,197,152,115,105,115,15,150,2001,194,343,501,526,657,842,1024,1152,1349,1501,1616,1721,1836,1851,2001,10,173,164,155
11,Noah,Ohlsen,Noah Ohlsen,https://profilepicsbucket.crossfit.com/0a0bc-P2725_5-184.jpg,United States,https://assets.crossfit.com/build/img/sites/games/country-flags/us.svg,Peak 360 CrossFit,13:35.0,09:31.2,01:18.1,15:35.0,12:59.6,CAP+01,06:31.2,03:02.2,03:50.0,23:32.8,230,260,260,00:15.1,04:49.7,CAP+04,07:16.9,28,23,10,14,36,36,28,15,11,37,11,33,7,8,10,119,134,173,161,95,95,119,158,170,67,150,40,170,165,155,1971,119,253,426,587,682,777,896,1054,1224,1291,1441,1481,1651,1816,1971,11,170,160,150
12,Lazar,Dukic,Lazar Dukic,https://profilepicsbucket.crossfit.com/17a2b-P1059467_5-184.jpg,Serbia,https://assets.crossfit.com/build/img/sites/games/country-flags/rs.svg,CrossFit NS,09:08.7,09:07.4,01:22.1,16:36.5,12:27.9,CAP+01,07:51.8,03:21.9,03:54.0,21:10.2,271,270,270,00:16.5,11:34.8,CAP+11,07:25.8,2,14,30,20,19,36,52,21,13,1,2,29,36,17,12,197,161,113,143,146,95,57,140,164,200,195,60,25,120,145,1961,197,358,471,614,760,855,912,1052,1216,1416,1611,1671,1696,1816,1961,12,167,156,145
13,Annie,Thorisdottir,Annie Thorisdottir,https://profilepicsbucket.crossfit.com/15f17-P18588_4-184.jpg,Iceland,https://assets.crossfit.com/build/img/sites/games/country-flags/is.svg,CrossFit ReykjavÃ­k,16:15.9,10:27.4,01:31.4,16:15.5,12:20.3,06:25.7,06:24.4,03:27.0,04:07.3,24:15.4,192,200,305,CAP+00,04:53.7,05:22.1,07:10.6,44,35,58,17,15,17,25,22,24,42,26,3,10,1,7,73,98,45,152,158,152,128,137,131,52,75,190,155,200,170,1916,73,171,216,368,526,678,806,943,1074,1126,1201,1391,1546,1746,1916,13,164,152,140
14,Jeffrey,Adler,Jeffrey Adler,https://profilepicsbucket.crossfit.com/e480e-P469656_1-184.jpg,Canada,https://assets.crossfit.com/build/img/sites/games/country-flags/ca.svg,CrossFit Wonderland,14:39.1,09:55.3,01:19.1,17:13.4,14:04.2,05:45.0,04:59.8,CAP+00,04:09.9,21:43.0,245,275,275,00:12.9,04:49.5,CAP+18,07:28.1,35,27,19,28,58,2,4,51,26,12,9,22,6,25,14,98,122,146,119,45,197,191,59,125,156,160,95,175,80,135,1903,98,220,366,485,530,727,918,977,1102,1258,1418,1513,1688,1768,1903,14,161,148,135
15,Kristin,Holte,Kristin Holte,https://profilepicsbucket.crossfit.com/df164-P120480_7-184.jpg,Norway,https://assets.crossfit.com/build/img/sites/games/country-flags/no.svg,CrossFit Oslo,13:08.5,10:16.5,01:26.7,15:05.0,12:13.7,06:07.1,06:24.9,03:00.4,05:45.7,21:59.5,185,175,266.875,00:27.1,04:54.9,05:33.7,07:47.1,24,31,38,10,11,9,26,13,64,19,28,32,11,2,25,131,110,89,173,170,176,125,164,33,128,65,45,150,195,80,1834,131,241,330,503,673,849,974,1138,1171,1299,1364,1409,1559,1754,1834,15,158,144,130
